movie_id,person_id
333384,132364
8617,45627
109439,57130
556678,937147
14248,89112
68730,1032
157845,114334
11802,71267
301337,13235
294963,1018106
1356670,1208650
406563,1306608
399360,11447
440021,54248
82679,168798
604685,54868
59436,1243
293863,109745
9760,35694
9760,35734
465136,566328
516329,65167
438650,95972
10184,29009
796185,1422940
453405,1614
2359,17087
613504,11873
13207,29922
23398,31024
460019,55075
371865,95901
330483,1777
214,2675
744275,1448492
60304,76927
1087822,20192
2698,4499
22894,116357
43947,88039
263109,1244465
456740,57581
77950,94075
353616,1278722
578701,1215399
68737,130938
630004,54525
243688,57193
31299,93560
205584,21085
415842,84931
58595,228134
222935,1053420
97370,66728
22947,52443
848058,1987284
98357,11448
23827,90591
818397,10702
42194,56998
489999,1932296
51162,16842
51162,227439
397243,135113
45772,12079
9072,35689
631842,11614
1979,20400
13257,50767
45269,70500
51052,208113
17845,82418
43539,455
455476,80577
256274,77147
376290,18844
30239,105866
366672,18898
366672,173394
366672,1535020
121856,549310
15092,20193
15092,20192
97630,14392
7326,52443
361292,78160
32985,69593
57201,1704
376659,52115
376659,52114
76696,562365
14324,33317
116977,43518
568620,57270
157353,559
983044,1099354
820525,1448492
540901,71551
417384,135113
1137350,5655
527641,88675
426543,5306
426543,4945
13809,956
32395,129718
13523,74619
521029,1338249
154400,236859
13836,58375
449176,88967
19959,7213
592695,1202063
15472,19346
460885,1044250
632357,80675
256924,15892
560016,76788
193893,65734
50348,144221
896536,1627142
503736,15217
11665,13426
738652,40223
227973,71729
81005,9032
254191,1290265
458305,1284692
51540,71600
77016,19769
586863,144817
72197,53304
13532,74623
837881,22686
1062807,2666700
385103,23683
388,5281
192141,77147
8321,54472
13179,69416
429422,934803
72331,23430
440471,30058
270487,1223
270487,1224
4538,5655
1164,223
443791,125324
817758,5010
49849,15277
338952,11343
438799,1299642
752564,37626
13885,510
480414,1607672
491283,150098
522212,1144604
257445,65630
586101,1136517
109091,578
1452,9032
87818,52112
87818,9281
87818,7396
87818,11091
87818,2171
87818,32593
87818,15218
87818,1272994
87818,141825
644495,578
16995,17350
14451,76927
41402,32278
514207,80999
8247,11694
811941,1168111
62214,510
13197,137064
504608,974
336882,87877
1246,16483
758323,1299642
60747,8684
18480,6767
4977,40333
62764,56512
11600,1150
7484,7881
7484,15812
447665,41355
9029,56717
308084,118415
404733,240735
442249,1709468
8456,55075
757725,40223
4942,1461
339984,437833
72387,52358
5174,11091
4258,72024
130150,52443
296099,52935
296099,1236679
9959,18311
648579,1211000
498402,62531
474395,1719706
474395,1903167
1991,138
55846,119406
316727,53120
9543,10723
353575,3026
64685,468
1010600,16938
87421,28239
4588,1614
49517,74396
1094274,1180698
57165,66739
12405,2034
167032,65677
531428,68813
41283,66121
314095,20561
12096,17825
10073,35734
74777,551463
600354,1150548
25704,12058
719221,1651531
719221,2093324
22824,62369
94329,142013
7980,108
17431,81850
267999,56206
442062,991868
862965,1099792
19265,1243
1023922,101542
72570,566328
459003,1837958
459003,1823439
28355,54559
267193,18865
1064486,92733
940139,24
14001,2127
5723,45117
1086747,2957803
780609,2036
674324,54472
549053,116805
20766,53333
8329,54525
8329,54526
1272149,1366450
14869,7775
10483,4014
1992,2294
310593,56194
244534,40863
93837,56717
395991,86270
302401,1152
1002155,1186858
1002155,1562429
700391,1317685
700391,1317686
218043,15358
268920,29214
278924,52961
37430,29922
37169,118639
522518,1212755
123103,86500
58224,54050
500475,1527715
5915,2228
375262,122423
41439,2150
994108,586002
3432,3028
1064307,76927
1064307,81397
14299,81727
83542,9340
83542,9339
83542,1071
340666,120615
241257,19840
768362,2093036
768362,2093041
218836,210053
86838,54472
501907,177532
1000837,8574
964980,880
10189,64141
241848,98631
458594,35453
6145,17812
72334,67589
72334,67592
447200,57633
38050,1921
41592,139156
41592,139153
239563,1141683
663260,225407
193610,11151
293670,75915
14325,5501
245916,84931
205775,6159
136797,293911
9992,59
762430,41671
504172,190
3580,190
56288,2294
37958,56512
9955,60922
9955,60923
5125,13079
55301,64151
804150,9281
26320,1614
13967,58137
842675,1100748
419704,20561
47964,12028
10200,55499
382597,37627
352161,56210
938614,1083154
938614,1083156
41733,57130
2044,21031
16996,58552
512895,1218988
359790,76325
12137,63820
454992,1302549
206487,56501
206487,56502
429197,55710
2252,224
493623,1944716
201088,638
188222,183036
50839,556172
809787,19850
381237,1031463
643215,19866
67748,549310
376660,983909
283566,77923
283566,56341
283566,77921
26389,35453
